ID,RA,Dec,k36mag,e36mag,d36mag,k45mag,e45mag,d45mag,k58mag,e58mag,d58mag,k80mag,e80mag,d80mag,k24mag,e24mag,dstArcSec,RAJ2000,DEJ2000,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,c1a,c1b,c1c,c2a,c2b,c2c,c3a,c3b,c3c,c4a,c4b,c4c,c5a,c5b,c5c,c6a,c6b,c6c,c7,c8,c9a,c9b,c9c,c11b,c11c,c1,c2,c3,c4,c5,c6,c9,c10,c11,24 data?,36 data?,45 data?,58 data?,80 data?,SpNum,H data?,J data?,K data?,HJKNum,c2 met?,c3 met?,c4 met?,c5 met?,c6 met?,c9 met?,c11 met?,sp rel?,HJK rel?,YSO Score,24 without 58/80,New name
9420,296.20619,-14.88477,17.31,0.07,0.2,17.21,0.08,0.04,17.15,0.14,1.17,13.11,0.12,-1.26,8.17,0.06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,5,0,0,0,0,0,0,1,1,1,1,0,1,0,4,0,193
1718,296.20728,-14.88295,15.79,0.1,0.39,15.28,0.11,0.32,13.67,0.09,0.33,11.98,0.08,0.4,6.88,0.05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,5,0,0,0,0,1,1,1,1,1,1,1,1,0,6,0,194
24650,296.20761,-14.88045,17.87,0.1,-9999,18.44,0.14,-9999,15.39,0.08,-9999,13.77,0.14,-9999,8.05,0.03,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,5,0,0,0,0,1,1,1,1,1,1,1,1,0,6,0,195
20980,296.20762,-14.8015,17.94,0.08,0.26,18.15,0.12,0.49,16.87,0.16,0.51,14.24,0.04,-9999,10.57,0.09,0.698529592032247,296.207489,-14.801647,-9999,-9999,18.949,0.186,18.818,0.197,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,5,1,0,1,2,0,0,1,0,1,1,0,1,1,3,0,196
5533,296.20799,-14.87426,16.76,0.07,0.46,16.57,0.06,0.39,15.35,0.08,0.04,14.24,0.05,0.24,10.49,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,4,0,0,0,0,1,1,1,0,0,1,0,1,0,4,0,197
8191,296.20802,-14.88421,17.13,0.06,0.69,17.05,0.09,1.17,14.47,0.1,0.63,12.87,0.07,0.69,7.59,0.01,0.301249013578446,296.207947,-14.884255,18.477,0.079,17.69,0.06,17.747,0.079,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,5,1,1,1,3,1,1,1,1,1,1,1,1,1,6,0,198
9772,296.20835,-14.8852,17.31,0.05,0,17.26,0.05,-0.15,16.36,0.16,0.46,14.76,0.12,0.87,8.56,0.02,0.396102091162569,296.208252,-14.885256,18.998,0.122,17.858,0.07,17.847,0.087,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,1,1,1,0,0,1,1,1,1,1,5,1,1,1,3,0,0,1,1,1,1,0,1,1,4,0,199
7809,296.20854,-14.85139,17.05,0.09,1.13,16.98,0.09,1.25,16.22,0.11,1.37,14.04,0.07,0.49,10.69,0.09,0.376293821075117,296.208435,-14.851415,17.821,0.046,17.434,0.048,17.182,0.049,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,5,1,1,1,3,0,0,1,0,1,1,0,1,1,3,0,200
2482,296.20857,-14.88385,16.27,0.1,0.09,15.67,0.06,0.12,13.7,0.08,-0.01,12.32,0.06,0.3,7.82,0.08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,5,0,0,0,0,1,1,1,1,1,1,1,1,0,6,0,201
9870,296.20861,-14.87929,17.02,0.07,0,17.27,0.11,0.17,15.84,0.1,0.79,13.76,0.1,0.95,8,0.03,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,5,0,0,0,0,1,1,1,1,1,1,1,1,0,6,0,202
